date,headline,link,sentiment
"Aug 15, 2025",Union Hydropower Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61033,0.0
"May 14, 2025",Union Hydropower Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59847,0.0
"Feb 12, 2025",Union Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58553,0.0
"Jan 12, 2025",Information Regarding after 18th AGM minutes details - Union Hydropower Limited (UNHPL),https://merolagani.com/AnnouncementDetail.aspx?id=56925,0.0
"Dec 20, 2024","Union Hydropower Limited has proclaimed its 18th AGM going to be held on Poush 26, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=56554,0.0
"Nov 15, 2024",Union Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55962,0.0
"Aug 14, 2024",Union Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54824,0.0
"May 10, 2024",Union Hydropower Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53698,0.0
"Feb 12, 2024",Union Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52679,0.0
"Jan 16, 2024",17th AGM Minutes - Union Hydropower Limited (UNHPL),https://merolagani.com/AnnouncementDetail.aspx?id=52155,0.0
"Dec 31, 2023",Union Hydropower Limited has made correction on its upcoming 17th AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=51944,-1.0
"Dec 24, 2023","Union Hydropower Limited has proclaimed its 17th AGM going to be held on Poush 29, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51828,0.0
"Nov 10, 2023",Union Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51067,0.0
"Aug 15, 2023",Union Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=49852,0.0
"May 12, 2023",Union Hydropower Limited has re-published its corrected provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48446,0.0
"Feb 10, 2023",Union Hydropower Limited has re-published its corrected provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46996,0.0
"Feb 09, 2023",Union Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46951,0.0
"Dec 15, 2022","Union Hydropower Limited has proclaimed its 16th AGM going to be held on Poush 22, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45851,0.0
"Nov 14, 2022",Union Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45277,0.0
"Aug 15, 2022",Union Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44298,0.0
"May 09, 2022",Special AGM Minutes - Union Hydropower Limited (UNHPL),https://merolagani.com/AnnouncementDetail.aspx?id=43034,0.0
"Apr 29, 2022",Union Hydropower Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=42926,0.0
"Apr 22, 2022","Union Hydropower Limited has proclaimed its SGM going to be held on Baishakh 23, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=42828,0.0
"Feb 09, 2022",Union Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41957,0.0
"Dec 21, 2021","Union Hydropower Limited has proclaimed its 15th AGM going to be held on Poush 27, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=41277,0.0
"Nov 14, 2021",Union Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40680,0.0
"Aug 13, 2021",Union Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39564,0.0
"Jun 14, 2021","Union Hydropower Limited has proclaimed its 13th and 14 AGM going to be held on Ashad 25, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=38959,0.0
"Jun 07, 2021",Information about 13th and 14 AGM - Union Hydropower Limited (UNHPL),https://merolagani.com/AnnouncementDetail.aspx?id=38932,0.0
"May 09, 2021",Union Hydropower Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38652,0.0
"Feb 10, 2021",Union Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37631,0.0
"Nov 14, 2020",Union Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37157,0.0
"Aug 11, 2020",Union Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=35970,0.0
"Feb 12, 2020",Union Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34953,0.0
"Nov 15, 2019",Union Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34078,0.0
"Aug 15, 2019",Union Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=33293,0.0
"May 31, 2019",Union Hydropower Company Limited appoints “Laxmi Capital Market Limited” as its registrar to share.,https://merolagani.com/AnnouncementDetail.aspx?id=32729,0.0
"May 05, 2019","Union Hydropower Company Limited has allotted its (34,63,654 units IPO share) to the general public on (Baisakh 19, 2076.)",https://merolagani.com/AnnouncementDetail.aspx?id=32442,1.0
"Apr 25, 2019","Union Hydropower Company Limited is closing its (34,63,654 units IPO share) to the general public from today (Baisakh 12, 2076.)",https://merolagani.com/AnnouncementDetail.aspx?id=32332,1.0
