date,headline,link,sentiment
"Oct 10, 2025",Unilever Nepal Limited has requested its shareholders to dematerialize their physical share certificates and update their beneficiary bank account details for receiving future dividend payments directly through the banking system (IPS).,https://merolagani.com/AnnouncementDetail.aspx?id=61914,0.0
"Sep 23, 2025",Declaration of NPR1842/- per Equity Share (Cash Dividend) - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=61753,2.0
"Aug 14, 2025",Unilever Nepal Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61013,0.0
"May 14, 2025",31st AGM Minutes - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=59860,0.0
"May 11, 2025",Unilever Nepal Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59680,0.0
"Feb 07, 2025",Unilever Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58384,0.0
"Nov 27, 2024",Unilever Nepal Limited has published a notice to its shareholders to collect unclaimed cash dividends from the last five fiscal years and has urged them to present with their share certificates along with identity within the given timeframe.,https://merolagani.com/AnnouncementDetail.aspx?id=56154,1.0
"Nov 13, 2024",Unilever Nepal Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=55831,0.0
"Oct 31, 2024","Unilever Nepal Limited has distributed a 1714% per equity share (cash dividend) directly to the bank account of its shareholders on Kartik 12, 2081 and has urged them to dematerialize their bank accounts.",https://merolagani.com/AnnouncementDetail.aspx?id=55743,2.0
"Oct 30, 2024",Approval of Dividend - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=55736,0.0
"Oct 07, 2024",Unilever Nepal Limited has published a notice regrading a book closure date of its upcoming 31st AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=55426,0.0
"Oct 07, 2024","Unilever Nepal Limited has proclaimed its 31st AGM going to be held on Kartik 12, 2081",https://merolagani.com/AnnouncementDetail.aspx?id=55425,0.0
"Sep 26, 2024","Declaration of Rs.1714.00 per equity shares (Cash Dividend) and Book Closure Date from 14th - 28th October, 2024 - Unilever Nepal Limited (UNL)",https://merolagani.com/AnnouncementDetail.aspx?id=55309,2.0
"Sep 23, 2024","Unilever Nepal Limited has urged its shareholders to dematerialize their shares and update their bank accounts, Permanent Account Number (PAN), and personal details to facilitate dividend distribution.",https://merolagani.com/AnnouncementDetail.aspx?id=55274,0.0
"Sep 03, 2024","Unilever Nepal Limited has urged its shareholders to dematerialize their shares and update their bank accounts, Permanent Account Number (PAN), and personal details to facilitate dividend distribution.",https://merolagani.com/AnnouncementDetail.aspx?id=55083,0.0
"Aug 12, 2024",Unilever Nepal Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54701,0.0
"May 10, 2024",Unilever Nepal Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53686,0.0
"Feb 09, 2024",Unilever Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52535,0.0
"Dec 21, 2023","Unilever Nepal Limited is going to distribute 1580% cash dividend directly to the bank account of its shareholders starting from today, Poush 05, 2080 and has urged its shareholders to dematerialize their shares/accounts.",https://merolagani.com/AnnouncementDetail.aspx?id=51710,2.0
"Dec 18, 2023",Approval of Dividend - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=51657,0.0
"Nov 21, 2023",Unilever Nepal Limited has published a notice regrading a book closure date of its upcoming 30th AGM.,https://merolagani.com/AnnouncementDetail.aspx?id=51271,0.0
"Nov 21, 2023","Unilever Nepal Limited has proclaimed its 30th AGM going to be held on Mangsir 26, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=51270,0.0
"Nov 10, 2023",Unilever Nepal Limited has published its provisional financial statement from the first quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=51018,0.0
"Oct 16, 2023",Distribution of Cash Dividend (1580.00) and a Book Closure Date - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=50622,1.0
"Oct 05, 2023","Unilever Nepal Limited has urged its shareholders to dematerialize their shares, bank accounts, Permanent Account Number (PAN) along with their personal details for the dividend purpose.",https://merolagani.com/AnnouncementDetail.aspx?id=28818,0.0
"Aug 17, 2023",Unilever Nepal Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=50031,0.0
"May 12, 2023",Unilever Nepal Limited has published its provisional financial statement from the third quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=48431,0.0
"Feb 12, 2023",Unilever Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=46752,0.0
"Dec 09, 2022",Approval of 1215% Cash Dividend - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=45730,2.0
"Nov 16, 2022",Unilever Nepal Limited has published its provisional financial statement from the first quarter of the fiscal year 2079/80,https://merolagani.com/AnnouncementDetail.aspx?id=45406,0.0
"Nov 14, 2022","Unilever Nepal Limited has published a notice regarding a book closure date of its upcoming 29th AGM starting from 4th - 20th Mangsir, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45289,0.0
"Nov 14, 2022","Unilever Nepal Limited has proclaimed its 29th AGM going to be held on Mangsir 20, 2079",https://merolagani.com/AnnouncementDetail.aspx?id=45288,0.0
"Nov 03, 2022",Intimation on the Recommendation of Dividend and a Book Closure Date - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=45173,0.0
"Oct 11, 2022",Unilever Nepal Limited has urged its shareholders to dematerialize their shares and accounts for the dividend purpose.,https://merolagani.com/AnnouncementDetail.aspx?id=44894,0.0
"Aug 08, 2022",Unilever Nepal Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=44226,0.0
"May 12, 2022",Unilever Nepal Limited has published its provisional financial statement from the third quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=43105,0.0
"Mar 22, 2022",Intimation on unpaid dividend deposition to IPF Account - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=42476,0.0
"Feb 11, 2022",Unilever Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=41991,0.0
"Dec 14, 2021",Unilever Nepal Limited has published a notice to its shareholders to collect uncollected due dividends.,https://merolagani.com/AnnouncementDetail.aspx?id=41132,0.0
"Nov 17, 2021",Intimation on Dispatch of Dividend - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=40862,0.0
"Nov 16, 2021",Unilever Nepal Limited has published its provisional financial statement from the first quarter of the fiscal year 2078/79,https://merolagani.com/AnnouncementDetail.aspx?id=40803,0.0
"Oct 29, 2021",Dividend Confirmation Intimation - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=40487,0.0
"Oct 06, 2021","Unilever Nepal Limited has proclaimed its 28th AGM going to be held on Kartik 11, 2078",https://merolagani.com/AnnouncementDetail.aspx?id=40233,0.0
"Oct 06, 2021","Unilever Nepal Limited has published a notice regarding a book closure date from 25th Ashwin to 11th Kartik, 2078 of its upcoming 28th AGM.",https://merolagani.com/AnnouncementDetail.aspx?id=40231,0.0
"Sep 26, 2021",Unilever Nepal Limited has urged its shareholders to demateriaize their accounts for the dividend purpose.,https://merolagani.com/AnnouncementDetail.aspx?id=40134,0.0
"Sep 15, 2021",Unilever Nepal Limited has published a notice to its shareholders to collect uncollected due dividends.,https://merolagani.com/AnnouncementDetail.aspx?id=40014,0.0
"Sep 07, 2021",Dividend Declaration FY 2077/78 - Unilever Nepal Limited (UNL),https://merolagani.com/AnnouncementDetail.aspx?id=39949,0.0
"Sep 05, 2021",Unilever Nepal Limited has urged its shareholders to demateriaize their accounts for the dividend purpose.,https://merolagani.com/AnnouncementDetail.aspx?id=39935,0.0
"Aug 15, 2021",Unilever Nepal Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=39638,0.0
"May 13, 2021",Unilever Nepal Limited has published its provisional financial statement from the third quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=38727,0.0
"Feb 12, 2021",Unilever Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2077/78,https://merolagani.com/AnnouncementDetail.aspx?id=37700,0.0
"Nov 18, 2020",Unilever Nepal Limited has published its provisional financial statement from the first quarter of the fiscal year 2077/78.,https://merolagani.com/AnnouncementDetail.aspx?id=36690,0.0
"Nov 09, 2020","Unilever Nepal Limited has published a book closure date for its upcoming 27th AGM on (Kartik 27, 2077).",https://merolagani.com/AnnouncementDetail.aspx?id=36563,0.0
"Nov 08, 2020","Unilever Nepal Limited proclaim its 27th AGM going to be held on Mangsir 16, 2077.",https://merolagani.com/AnnouncementDetail.aspx?id=36556,0.0
"Oct 15, 2020",Unilever Nepal Limited has urged its shareholders to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=36424,0.0
"Sep 27, 2020",Unilever Nepal Limited - Declaration Rs.100 per share cash dividend.,https://merolagani.com/AnnouncementDetail.aspx?id=36357,1.0
"Aug 16, 2020",Unilever Nepal Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=36086,0.0
"Jul 15, 2020",Unilever Nepal Limited has published its provisional financial statement from the third quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=35760,0.0
"Feb 12, 2020",Unilever Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2076/77,https://merolagani.com/AnnouncementDetail.aspx?id=38640,0.0
"Feb 12, 2020",Unilever Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34942,0.0
"Nov 15, 2019",Unilever Nepal Limited has published its provisional financial statement from the first quarter of the fiscal year 2076/77.,https://merolagani.com/AnnouncementDetail.aspx?id=34061,0.0
"Oct 01, 2019","Unilever Nepal Limited has announced a book closure date for its upcoming AGM on Ashwin 22, 2076.",https://merolagani.com/AnnouncementDetail.aspx?id=33696,0.0
"Oct 01, 2019","Unilever Nepal Limited proclaim its 26th AGM going to be held on Kartik 07, 2076.",https://merolagani.com/AnnouncementDetail.aspx?id=33694,0.0
"Sep 29, 2019",Unilever Nepal Limited has urged its shareholders to dematerialized their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=33679,0.0
"Sep 06, 2019",Unilever Nepal Limited - Declaration Rs.770 per share cash dividend.,https://merolagani.com/AnnouncementDetail.aspx?id=33542,1.0
"Aug 19, 2019",Unilever Nepal Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=33376,0.0
"May 13, 2019",Unilever Nepal Limited has published its provisional financial statement from the third quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=32534,0.0
"Feb 27, 2019",Unilever Nepal Limited has published its provisional financial statement from the second quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=31941,0.0
"Nov 28, 2018",Unilever Nepal Limited has published a notice urging its shareholders to collect uncollected due dividend of 2070/071.,https://merolagani.com/AnnouncementDetail.aspx?id=30948,0.0
"Nov 16, 2018",Unilever Nepal Limited has published its provisional financial statement from the first quarter of the fiscal year 2075/76.,https://merolagani.com/AnnouncementDetail.aspx?id=30805,0.0
"Oct 26, 2018",Unilever Nepal Limited is distributing 700% cash dividend directly to bank accounts and urges to dematerialize their shares.,https://merolagani.com/AnnouncementDetail.aspx?id=30587,2.0
"Oct 25, 2018",Unilever Nepal Limited - Information on Election of Director represting general public Shareholder.,https://merolagani.com/AnnouncementDetail.aspx?id=30585,0.0
