date,headline,link,sentiment
"Aug 15, 2025",Upper Tamakoshi Hydropower Limited has published its provisional financial statement for the fourth quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=61007,0.0
"May 13, 2025",Upper Tamakoshi Hydropower Limited has published its provisional financial statement for the third quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=59727,0.0
"Feb 12, 2025",Upper Tamakoshi Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=58551,0.0
"Nov 15, 2024",Upper Tamakoshi Hydropower Limited has published its provisional financial statement from the first quarter of the fiscal year 2081/82,https://merolagani.com/AnnouncementDetail.aspx?id=56002,0.0
"Aug 13, 2024",Upper Tamakoshi Hydropower Limited has published its provisional financial statement from the fourth quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=54729,0.0
"May 12, 2024",Upper Tamakoshi Hydropower Limited has published its provisional financial statement from the third quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=53732,0.0
"Mar 11, 2024","10,59,00,000.00 Units (100%) of Right Shares has been listed in NEPSE - Upper Tamakoshi Hydropower Limited (UPPER)",https://merolagani.com/AnnouncementDetail.aspx?id=52995,2.0
"Feb 27, 2024","Upper Tamakoshi Hydropower Limited is going to refund the payment to the non-allottees' bank account starting from Falgun 16, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52880,0.0
"Feb 13, 2024",Upper Tamakoshi Hydropower Limited has published its provisional financial statement from the second quarter of the fiscal year 2080/81,https://merolagani.com/AnnouncementDetail.aspx?id=52739,0.0
"Feb 04, 2024","Upper Tamakoshi Hydropower Limited has distributed its 1,70,19,530.00 units of ordinary right share to the interested whoever person, institution, company on Magh 17, 2080 and is going to refund the payment to the non-allottees' bank account starting from Magh 22, 2080. The distribution cut-off price is Rs.147.00",https://merolagani.com/AnnouncementDetail.aspx?id=52461,2.0
"Jan 19, 2024","Upper Tamakoshi Hydropower Limited has published a notice regarding a bid opening date of its 1,70,19,530.00 units ordinary right share to the interested whoever person, institution, company from today, Magh 05, 2080",https://merolagani.com/AnnouncementDetail.aspx?id=52204,1.0
