S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
1,"2,608.15","2,611.99","2,601.50","2,607.37",-1.66,-0.06,"3,497,979,756.56",2025-12-11
2,"2,613.63","2,618.53","2,596.70","2,609.03",-5.03,-0.19,"3,738,772,373.24",2025-12-10
3,"2,607.35","2,620.57","2,605.60","2,614.07",7.39,0.28,"3,755,027,795.92",2025-12-09
4,"2,609.79","2,618.22","2,601.38","2,606.67",-3.02,-0.11,"4,669,548,742.61",2025-12-08
5,"2,629.69","2,636.97","2,602.95","2,609.69",-21.48,-0.81,"5,334,415,331.05",2025-12-07
6,"2,647.52","2,658.27","2,623.10","2,631.17",-13.52,-0.51,"5,235,699,337.33",2025-12-03
7,"2,640.90","2,652.52","2,638.17","2,644.70",-0.53,-0.02,"4,481,394,149.97",2025-12-02
8,"2,648.33","2,658.42","2,630.66","2,645.24",-4.28,-0.16,"4,716,383,580.85",2025-12-01
9,"2,675.17","2,694.89","2,644.13","2,649.52",-26.51,-0.99,"7,085,449,433.59",2025-11-30
10,"2,670.07","2,678.29","2,658.12","2,676.03",10.43,0.39,"6,662,383,143.46",2025-11-27
11,"2,661.64","2,671.91","2,647.39","2,665.60",9.61,0.36,"6,692,971,095.04",2025-11-26
12,"2,654.20","2,658.19","2,635.55","2,655.99",5.32,0.20,"5,823,028,663.96",2025-11-25
13,"2,601.20","2,647.58","2,601.11","2,650.66",50.44,1.94,"7,035,480,136.98",2025-11-24
14,"2,562.34","2,600.93","2,562.34","2,600.22",39.92,1.55,"6,286,733,916.87",2025-11-23
15,"2,560.11","2,563.92","2,549.82","2,560.29",-0.79,-0.03,"4,688,868,299.23",2025-11-20
16,"2,570.94","2,580.09","2,550.62","2,561.08",-4.98,-0.19,"3,778,632,771.30",2025-11-19
17,"2,549.20","2,579.12","2,547.42","2,566.07",15.70,0.61,"4,105,406,134.01",2025-11-18
18,"2,543.82","2,555.32","2,534.97","2,550.36",9.78,0.38,"3,946,074,358.89",2025-11-17
19,"2,549.85","2,550.18","2,533.03","2,540.57",-5.15,-0.20,"3,893,975,793.73",2025-11-16
20,"2,538.53","2,559.01","2,530.32","2,545.73",1.13,0.04,"3,499,817,772.82",2025-11-13
21,"2,565.72","2,569.52","2,540.24","2,544.59",-20.56,-0.80,"3,848,586,411.67",2025-11-12
22,"2,563.87","2,569.99","2,548.01","2,565.16",3.21,0.12,"3,626,175,110.66",2025-11-11
23,"2,570.15","2,576.85","2,544.10","2,561.94",-4.15,-0.16,"4,514,408,236.33",2025-11-10
24,"2,598.43","2,599.27","2,560.92","2,566.09",-30.02,-1.15,"4,907,624,328.39",2025-11-09
1,"2,609.70","2,622.44","2,589.63","2,596.12",-11.29,-0.43,"5,416,939,357.22",2025-11-06
2,"2,596.81","2,612.53","2,576.83","2,607.42",12.17,0.46,"4,681,922,814.96",2025-11-05
3,"2,623.73","2,627.56","2,587.28","2,595.24",-27.64,-1.05,"5,150,768,938.97",2025-11-04
4,"2,629.66","2,650.61","2,610.96","2,622.89",-8.24,-0.31,"6,052,226,903.77",2025-11-03
5,"2,614.13","2,638.12","2,593.67","2,631.14",30.75,1.18,"9,203,146,429.51",2025-11-02
6,"2,568.62","2,605.50","2,548.39","2,600.38",34.22,1.33,"7,513,938,473.44",2025-10-30
7,"2,570.58","2,602.98","2,557.74","2,566.16",-5.17,-0.20,"5,459,767,681.89",2025-10-29
8,"2,506.89","2,576.41","2,503.98","2,571.34",62.29,2.48,"4,573,943,405.50",2025-10-28
9,"2,503.32","2,509.08","2,469.37","2,509.04",5.19,0.20,"2,661,302,284.84",2025-10-26
10,"2,489.07","2,507.12","2,482.94","2,503.85",16.67,0.67,"2,791,189,909.03",2025-10-19
11,"2,505.71","2,522.59","2,478.56","2,487.17",-18.40,-0.73,"3,270,054,864.16",2025-10-16
12,"2,527.95","2,528.59","2,498.87","2,505.58",-22.58,-0.89,"3,101,830,945.45",2025-10-15
13,"2,547.76","2,553.57","2,523.58","2,528.16",-19.43,-0.76,"3,366,198,262.34",2025-10-14
14,"2,521.00","2,547.81","2,478.39","2,547.60",44.25,1.76,"4,975,408,545.45",2025-10-13
15,"2,583.97","2,584.24","2,493.16","2,503.35",-78.83,-3.05,"6,707,245,266.37",2025-10-12
16,"2,585.76","2,677.09","2,575.51","2,582.18",22.59,0.88,"5,273,221,479.75",2025-10-09
