Date,Actual_Close,Predicted_Close,Error,Error_Pct,Actual_Direction,Predicted_Direction,Correct
2025-07-20,656.05,628.3721,27.677917,4.2188735,UP,DOWN,False
2025-07-21,643.56,635.3855,8.1744995,1.2702,DOWN,DOWN,True
2025-07-22,649.68,627.7746,21.905396,3.3717208,UP,DOWN,False
2025-07-23,661.46,626.3084,35.15161,5.3142457,UP,DOWN,False
2025-07-24,685.61,633.3364,52.27356,7.624387,UP,DOWN,False
2025-07-27,661.35,649.7441,11.605896,1.7548796,DOWN,DOWN,True
2025-07-28,667.32,644.67206,22.64795,3.3938665,UP,DOWN,False
2025-07-29,676.34,641.87585,34.464172,5.095687,UP,DOWN,False
2025-07-30,673.35,648.41125,24.93872,3.7036788,DOWN,DOWN,True
2025-07-31,670.61,651.84143,18.768555,2.798729,DOWN,DOWN,True
2025-08-03,650.53,654.85114,-4.321106,-0.6642439,DOWN,DOWN,True
2025-08-04,643.33,648.2223,-4.892273,-0.76046085,DOWN,DOWN,True
2025-08-05,637.11,643.8731,-6.7631226,-1.0615314,DOWN,UP,False
2025-08-06,648.24,642.41486,5.8251343,0.8986076,UP,UP,True
2025-08-07,649.29,649.01776,0.2722168,0.041925304,UP,UP,True
2025-08-11,635.19,652.5447,-17.354675,-2.7322023,DOWN,UP,False
2025-08-12,636.17,644.7705,-8.600525,-1.3519225,UP,UP,True
2025-08-13,633.95,640.46063,-6.51062,-1.0269927,DOWN,UP,False
2025-08-14,638.11,637.97375,0.13623047,0.021349058,UP,UP,True
2025-08-17,627.73,637.13324,-9.403259,-1.4979783,DOWN,DOWN,True
2025-08-18,637.81,630.61127,7.1987305,1.1286638,UP,UP,True
2025-08-19,650.68,630.7704,19.909607,3.0598154,UP,DOWN,False
2025-08-20,656.22,637.8119,18.408081,2.8051693,UP,DOWN,False
2025-08-21,640.79,642.4081,-1.618103,-0.25251693,DOWN,DOWN,True
2025-08-24,633.61,635.2777,-1.6677246,-0.26320997,DOWN,DOWN,True
2025-08-25,632.79,628.4015,4.388489,0.6935142,DOWN,DOWN,True
2025-08-26,628.6,628.14624,0.45373535,0.072181895,DOWN,DOWN,True
2025-08-27,639.26,628.53406,10.725952,1.67787,UP,DOWN,False
2025-08-28,655.52,636.0824,19.437622,2.9652216,UP,DOWN,False
2025-08-31,633.74,649.21106,-15.471069,-2.441233,DOWN,DOWN,True
2025-09-01,637.56,642.6849,-5.124878,-0.80382675,UP,UP,True
2025-09-02,636.84,641.25366,-4.4136353,-0.6930525,DOWN,UP,False
2025-09-03,629.79,642.76697,-12.97699,-2.0605266,DOWN,UP,False
2025-09-04,622.89,640.10767,-17.217651,-2.7641559,DOWN,UP,False
2025-09-07,613.31,636.34283,-23.032837,-3.7554967,DOWN,UP,False
2025-09-08,605.05,628.6869,-23.636902,-3.906603,DOWN,UP,False
2025-09-18,616.5,620.68774,-4.187744,-0.67927724,UP,UP,True
2025-09-21,615.08,624.01086,-8.930847,-1.4519813,DOWN,UP,False
2025-09-23,676.5,624.881,51.61902,7.630306,UP,UP,True
2025-09-24,650.0,655.0382,-5.038208,-0.77510893,DOWN,DOWN,True
2025-09-25,657.9,652.9441,4.9559326,0.7532957,UP,UP,True
2025-09-28,662.0,647.54224,14.457764,2.183952,UP,DOWN,False
2025-10-07,632.8,649.6545,-16.854492,-2.6634786,DOWN,DOWN,True
2025-10-08,632.0,634.1404,-2.1403809,-0.33866787,DOWN,UP,False
2025-10-09,667.0,628.3726,38.62738,5.7912116,UP,DOWN,False
2025-10-12,622.0,642.9546,-20.95459,-3.368905,DOWN,DOWN,True
2025-10-13,670.0,627.2578,42.742188,6.379431,UP,UP,True
2025-10-14,628.6,638.64484,-10.044861,-1.5979735,DOWN,DOWN,True
2025-10-15,615.0,627.1165,-12.116516,-1.9701653,DOWN,DOWN,True
2025-10-16,615.0,611.6637,3.3363037,0.5424884,UP,DOWN,False
2025-10-19,663.0,610.87805,52.12195,7.861531,UP,DOWN,False
2025-10-26,628.8,629.6684,-0.8684082,-0.13810563,DOWN,DOWN,True
2025-10-28,620.0,622.83765,-2.8376465,-0.45768493,DOWN,DOWN,True
2025-10-29,627.0,609.50775,17.492249,2.7898324,UP,DOWN,False
2025-10-30,628.0,608.9018,19.098206,3.0411155,UP,DOWN,False
2025-11-02,623.0,609.6991,13.300903,2.1349766,DOWN,DOWN,True
2025-11-03,605.0,608.2108,-3.2108154,-0.53071326,DOWN,DOWN,True
2025-11-04,616.0,598.76855,17.231445,2.7973125,UP,DOWN,False
2025-11-05,601.0,600.1555,0.8444824,0.14051288,DOWN,DOWN,True
2025-11-06,610.8,595.59546,15.204529,2.4892812,UP,DOWN,False
