Date,Actual_Close,Predicted_Close,Error,Error_Pct,Actual_Direction,Predicted_Direction,Correct
2025-07-27,939.41,921.6439,17.766052,1.8911926,DOWN,DOWN,True
2025-07-28,937.13,920.4955,16.634521,1.7750494,DOWN,DOWN,True
2025-07-29,950.2,922.0022,28.197815,2.9675663,UP,DOWN,False
2025-07-30,932.9,930.902,1.9980469,0.21417588,DOWN,DOWN,True
2025-07-31,927.43,929.8019,-2.3718872,-0.25574836,DOWN,DOWN,True
2025-08-03,935.17,927.5195,7.6505127,0.81808794,UP,UP,True
2025-08-04,937.25,931.7468,5.503174,0.5871618,UP,DOWN,False
2025-08-05,927.19,935.68555,-8.495544,-0.91626793,DOWN,DOWN,True
2025-08-06,932.4,931.6288,0.77124023,0.08271559,UP,UP,True
2025-08-07,943.21,932.3598,10.85022,1.1503503,UP,DOWN,False
2025-08-11,961.15,939.4442,21.70581,2.2583165,UP,DOWN,False
2025-08-12,636.2,950.16895,-313.96893,-49.350662,DOWN,DOWN,True
2025-08-13,618.41,858.4011,-239.99115,-38.807774,DOWN,UP,False
2025-08-14,598.89,790.2027,-191.31268,-31.944544,DOWN,UP,False
2025-08-17,584.98,751.6218,-166.64185,-28.486761,DOWN,UP,False
2025-08-18,582.73,719.5856,-136.85559,-23.485249,DOWN,UP,False
2025-08-19,603.6,698.8267,-95.226746,-15.776465,UP,UP,True
2025-08-20,601.87,699.7352,-97.865234,-16.260195,DOWN,UP,False
2025-08-21,598.26,695.46704,-97.20703,-16.248291,DOWN,UP,False
2025-08-24,601.97,685.1953,-83.22534,-13.825497,UP,UP,True
2025-08-25,600.21,676.34576,-76.13574,-12.684851,DOWN,UP,False
2025-08-26,604.65,665.4125,-60.76245,-10.049193,UP,UP,True
2025-08-27,609.99,656.1922,-46.20221,-7.5742574,UP,UP,True
2025-08-28,602.34,648.8501,-46.51007,-7.7215643,DOWN,UP,False
2025-08-31,599.17,636.35046,-37.18048,-6.2053313,DOWN,UP,False
2025-09-01,602.63,624.1321,-21.502075,-3.5680392,UP,UP,True
2025-09-02,597.49,617.41565,-19.92566,-3.3348944,DOWN,UP,False
2025-09-03,598.24,609.46594,-11.225952,-1.8764966,UP,UP,True
2025-09-04,601.94,603.35986,-1.4198608,-0.23588079,UP,UP,True
2025-09-07,593.09,600.25714,-7.1671143,-1.2084361,DOWN,DOWN,True
2025-09-08,586.4,591.75824,-5.3582153,-0.9137475,DOWN,DOWN,True
2025-09-18,574.7,581.3296,-6.6295776,-1.1535718,DOWN,DOWN,True
2025-09-21,587.73,570.8201,16.909851,2.8771462,UP,DOWN,False
2025-09-23,590.0,571.0367,18.963318,3.2141216,UP,DOWN,False
2025-09-24,649.0,575.2919,73.70813,11.357185,UP,DOWN,False
2025-09-25,600.0,614.79315,-14.793152,-2.4655252,DOWN,DOWN,True
2025-09-28,582.0,604.55835,-22.55835,-3.8760052,DOWN,UP,False
2025-10-07,566.2,585.6753,-19.47528,-3.439647,DOWN,UP,False
2025-10-08,537.0,574.4862,-37.486206,-6.980672,DOWN,UP,False
2025-10-09,540.0,555.1824,-15.182373,-2.8115506,UP,UP,True
2025-10-12,523.0,548.76904,-25.769043,-4.9271593,DOWN,UP,False
2025-10-13,533.3,539.3578,-6.0578003,-1.1359085,UP,UP,True
2025-10-14,530.0,539.55865,-9.558655,-1.8035197,DOWN,UP,False
2025-10-15,513.5,540.6504,-27.15039,-5.2873206,DOWN,UP,False
2025-10-16,518.0,531.24066,-13.240662,-2.5561123,UP,UP,True
2025-10-19,519.9,529.5506,-9.650574,-1.8562366,UP,UP,True
2025-10-26,513.0,532.309,-19.309021,-3.7639418,DOWN,UP,False
2025-10-28,528.0,529.1405,-1.1405029,-0.21600434,UP,UP,True
2025-10-29,530.0,535.43915,-5.439148,-1.0262543,UP,UP,True
2025-10-30,528.1,541.1219,-13.021912,-2.4658043,DOWN,UP,False
2025-11-02,542.0,541.24634,0.7536621,0.13905205,UP,UP,True
2025-11-03,542.0,549.24036,-7.2403564,-1.3358591,UP,UP,True
2025-11-04,526.2,553.049,-26.848999,-5.1024323,DOWN,UP,False
2025-11-05,529.7,544.26373,-14.563721,-2.749428,UP,UP,True
2025-11-06,524.9,541.1732,-16.273193,-3.1002462,DOWN,UP,False
