Date,Actual_Close,Predicted_Close,Error,Error_Pct,Abs_Error,Pct_Error,Within_Tolerance_Pct,Dir_Match,Hybrid_Correct,Actual_Direction,Predicted_Direction,Correct
2025-08-27,609.99,655.54266,-45.552673,-7.4677734,45.552673,7.4677734,False,True,True,UP,UP,True
2025-08-28,602.34,648.6144,-46.274353,-7.68243,46.274353,7.68243,False,False,False,DOWN,UP,False
2025-08-31,599.17,635.19806,-36.028076,-6.0129976,36.028076,6.0129976,False,False,False,DOWN,UP,False
2025-09-01,602.63,622.09686,-19.466858,-3.2303166,19.466858,3.2303166,False,True,True,UP,UP,True
2025-09-02,597.49,614.6444,-17.154419,-2.8710804,17.154419,2.8710804,True,False,True,DOWN,UP,False
2025-09-03,598.24,606.51294,-8.272949,-1.3828813,8.272949,1.3828813,True,True,True,UP,UP,True
2025-09-04,601.94,600.46173,1.4782715,0.24558452,1.4782715,0.24558452,True,True,True,UP,UP,True
2025-09-07,593.09,597.5262,-4.436157,-0.7479737,4.436157,0.7479737,True,True,True,DOWN,DOWN,True
2025-09-08,586.4,589.50085,-3.10083,-0.52879095,3.10083,0.52879095,True,True,True,DOWN,DOWN,True
2025-09-18,574.7,578.7521,-4.052063,-0.7050745,4.052063,0.7050745,True,True,True,DOWN,DOWN,True
2025-09-21,587.73,567.0619,20.66809,3.516596,20.66809,3.516596,False,False,False,UP,DOWN,False
2025-09-23,590.0,566.7469,23.253113,3.9412055,23.253113,3.9412055,False,False,False,UP,DOWN,False
2025-09-24,649.0,570.96423,78.03577,12.024001,78.03577,12.024001,False,False,False,UP,DOWN,False
2025-09-25,600.0,612.677,-12.677002,-2.1128335,12.677002,2.1128335,True,True,True,DOWN,DOWN,True
2025-09-28,582.0,604.37256,-22.372559,-3.8440824,22.372559,3.8440824,False,False,False,DOWN,UP,False
2025-10-07,566.2,583.77936,-17.579346,-3.1047943,17.579346,3.1047943,True,False,True,DOWN,UP,False
2025-10-08,537.0,569.64276,-32.64276,-6.0787263,32.64276,6.0787263,False,False,False,DOWN,UP,False
2025-10-09,540.0,547.53326,-7.533264,-1.395049,7.533264,1.395049,True,True,True,UP,UP,True
2025-10-12,523.0,539.841,-16.841003,-3.2200773,16.841003,3.2200773,False,True,True,DOWN,DOWN,True
2025-10-13,533.3,529.0461,4.2539062,0.7976573,4.2539062,0.7976573,True,True,True,UP,UP,True
2025-10-14,530.0,528.958,1.0419922,0.19660228,1.0419922,0.19660228,True,True,True,DOWN,DOWN,True
2025-10-15,513.5,529.87994,-16.379944,-3.1898625,16.379944,3.1898625,False,True,True,DOWN,DOWN,True
