Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover
MFIL,2025-09-18,655,655,620.1,620.5,-7.12 %,"3,452.00","2,161,948.00"
MFIL,2025-09-08,674,674,663,668.05,-0.01 %,"16,576.00","11,046,840.80"
MFIL,2025-09-07,676,690.5,667,668.09,-0.29 %,"28,171.00","19,077,758.30"
MFIL,2025-09-04,674,674,660.1,670.01,0.53 %,"19,500.00","12,972,282.70"
MFIL,2025-09-03,680.9,680.9,665.2,666.45,-0.22 %,"18,454.00","12,368,929.20"
MFIL,2025-09-02,683,683,666,667.95,-0.82 %,"23,379.00","15,715,720.40"
MFIL,2025-09-01,688.9,688.9,670.1,673.5,-0.29 %,"10,383.00","6,999,273.30"
MFIL,2025-08-31,680,690,674.9,675.48,-1.17 %,"22,994.00","15,658,004.10"
MFIL,2025-08-28,700,707,680,683.51,-2.11 %,"34,552.00","23,821,736.80"
MFIL,2025-08-27,690,703.8,678.2,698.26,2.69 %,"51,705.00","35,910,597.10"
MFIL,2025-08-26,683,685.9,677.2,679.96,1.11 %,"16,899.00","11,512,623.20"
MFIL,2025-08-25,668.1,681.3,668,672.51,0.05 %,"37,486.00","25,209,590.60"
MFIL,2025-08-24,672,678,666,672.16,0.17 %,"37,177.00","24,990,376.10"
MFIL,2025-08-21,678,679.7,669,670.99,-0.02 %,"17,480.00","11,739,752.60"
MFIL,2025-08-20,664,680,664,671.11,0.25 %,"18,334.00","12,282,841.30"
MFIL,2025-08-19,665,674.9,665,669.41,0.67 %,"26,875.00","17,971,930.80"
MFIL,2025-08-18,667,670.1,661.2,664.98,-0.82 %,"27,960.00","18,589,882.70"
MFIL,2025-08-17,677,685,670,670.5,-1.09 %,"14,819.00","10,004,854.70"
MFIL,2025-08-14,673,692.9,673,677.88,-1.16 %,"25,995.00","17,739,608.10"
MFIL,2025-08-13,681.3,702,681.3,685.87,-0.65 %,"28,173.00","19,487,422.90"
MFIL,2025-08-12,719.7,719.7,688,690.33,-3.08 %,"91,916.00","63,740,970.10"
MFIL,2025-08-11,721,727,702.1,712.24,-0.47 %,"106,582.00","75,771,022.10"
MFIL,2025-08-07,710,723,702.1,715.57,2.35 %,"123,590.00","88,448,181.10"
MFIL,2025-08-06,705,710,695.9,699.14,-0.74 %,"41,318.00","29,032,725.20"
MFIL,2025-08-05,712.5,719,698,704.36,-0.34 %,"65,259.00","46,111,271.20"
MFIL,2025-08-04,717,718.5,701.7,706.76,0.33 %,"80,954.00","57,331,706.20"
MFIL,2025-08-03,717,730,702,704.44,-1.71 %,"122,077.00","86,689,778.30"
MFIL,2025-07-31,714,735,700.1,716.71,0.73 %,"139,864.00","100,316,252.10"
MFIL,2025-07-30,750,750.5,710,711.49,-3.74 %,"97,793.00","70,867,141.20"
MFIL,2025-07-29,745.4,750,735,739.16,1.14 %,"102,939.00","76,281,071.50"
MFIL,2025-07-28,693,737.9,690,730.83,4.45 %,"252,399.00","178,709,657.80"
MFIL,2025-07-27,704.9,715,697,699.71,0.49 %,"161,873.00","114,599,969.20"
MFIL,2025-07-24,681.2,703,681.2,696.33,1.78 %,"100,055.00","69,515,715.60"
MFIL,2025-07-23,665,691,653,684.13,3.25 %,"95,456.00","64,858,573.50"
MFIL,2025-07-22,658,668,653,662.57,2.02 %,"53,087.00","35,226,091.90"
MFIL,2025-07-21,635.1,656,623.2,649.47,0.89 %,"66,621.00","43,029,861.20"
MFIL,2025-07-20,650,668,637,643.74,-0.85 %,"97,005.00","63,560,513.40"
MFIL,2025-07-17,634,650.8,630,649.27,4.17 %,"64,270.00","41,298,161.40"
MFIL,2025-07-16,634.8,634.8,610.5,623.27,0.06 %,"36,490.00","22,660,639.60"
MFIL,2025-07-15,618.6,628,618.2,622.87,0.97 %,"20,121.00","12,543,213.90"
MFIL,2025-07-14,627.28,627.28,615,616.89,-1.66 %,"11,540.00","7,125,458.00"
MFIL,2025-07-13,628,650,622.3,627.28,1.88 %,"27,496.00","17,274,591.70"
MFIL,2025-07-10,609,620,609,615.73,1.27 %,"22,626.00","13,928,456.40"
MFIL,2025-07-09,600,612,600,608,0.09 %,"9,598.00","5,836,444.30"
MFIL,2025-07-08,603,610,598,607.47,1.04 %,"12,759.00","7,712,027.80"
MFIL,2025-07-07,636.9,636.9,600,601.19,-3.73 %,"37,128.00","22,651,342.20"
MFIL,2025-07-06,619,640,610,624.49,2.76 %,"61,937.00","38,683,648.90"
MFIL,2025-07-03,602.9,619,593.1,607.71,2.76 %,"58,004.00","35,159,678.60"
MFIL,2025-07-02,590,607,588,591.41,1.18 %,"23,450.00","13,946,610.90"
MFIL,2025-07-01,590,590,579,584.49,0.19 %,"10,756.00","6,259,933.90"
MFIL,2025-06-30,589.8,589.9,581.2,583.39,0.79 %,"5,062.00","2,963,369.90"
MFIL,2025-06-29,580,580,570,578.79,1.02 %,"4,946.00","2,845,187.40"
MFIL,2025-06-26,580,580,572,572.95,-0.83 %,"9,694.00","5,562,014.60"
MFIL,2025-06-25,588.9,588.9,572,577.77,-0.13 %,"10,775.00","6,213,322.90"
MFIL,2025-06-24,587,590,578,578.55,-0.61 %,"12,092.00","7,043,244.60"
MFIL,2025-06-23,580.4,588,577,582.08,0.10 %,"6,263.00","3,642,812.60"
MFIL,2025-06-22,581,595.3,581,581.52,-0.80 %,"9,841.00","5,730,246.40"
MFIL,2025-06-19,589,596.6,581.2,586.19,-0.45 %,"16,622.00","9,744,594.90"
MFIL,2025-06-18,589,597.8,587.2,588.82,0.07 %,"8,067.00","4,749,883.40"
MFIL,2025-06-17,600,600,580,588.41,-0.30 %,"16,475.00","9,668,779.70"
MFIL,2025-06-16,600,600,590,590.19,-0.50 %,"14,539.00","8,630,502.90"
MFIL,2025-06-15,600,606,592,593.14,-1.19 %,"17,202.00","10,275,467.20"
MFIL,2025-06-12,596,605,596,600.3,0.61 %,"15,898.00","9,554,776.10"
MFIL,2025-06-11,617.9,617.9,595.4,596.68,-1.56 %,"11,864.00","7,124,074.90"
MFIL,2025-06-10,590,608.5,586.1,606.16,3.79 %,"25,434.00","15,280,448.00"
MFIL,2025-06-09,586,590,580,584.02,-0.14 %,"11,866.00","6,933,242.70"
MFIL,2025-06-08,596.7,597,583,584.83,-0.17 %,"8,555.00","5,017,526.00"
MFIL,2025-06-05,594.9,596,583,585.84,0.25 %,"10,289.00","6,040,803.30"
MFIL,2025-06-04,588.5,598,583,584.35,-0.68 %,"10,905.00","6,404,511.40"
MFIL,2025-06-03,578.6,597,578.6,588.33,-0.34 %,"13,323.00","7,862,708.40"
MFIL,2025-06-02,606.8,606.8,590,590.32,-0.77 %,"10,468.00","6,213,048.90"
MFIL,2025-05-28,596,599,590,594.92,0.06 %,"8,602.00","5,112,350.70"
MFIL,2025-05-27,597,601,594.1,594.58,-0.45 %,"7,743.00","4,615,015.50"
MFIL,2025-05-26,605,617.1,595.2,597.29,0.09 %,"11,890.00","7,151,743.40"
MFIL,2025-05-25,615,615,595,596.77,-1.31 %,"12,145.00","7,296,066.10"
MFIL,2025-05-22,608,610,603.5,604.72,-0.54 %,"11,357.00","6,885,796.50"
MFIL,2025-05-21,616.1,640.9,605,608,0.65 %,"23,455.00","14,380,132.00"
MFIL,2025-05-20,591,607,590,604.08,1.99 %,"14,552.00","8,680,114.70"
MFIL,2025-05-19,604,606,581,592.28,-0.05 %,"12,457.00","7,370,784.00"
MFIL,2025-05-18,607,607,590.1,592.58,-0.47 %,"7,926.00","4,705,239.10"
MFIL,2025-05-15,596,605,590,595.36,-0.22 %,"12,666.00","7,538,690.20"
MFIL,2025-05-14,600,607.9,591.1,596.68,-0.21 %,"19,151.00","11,509,254.90"
MFIL,2025-05-13,612,612,597,597.92,-1.70 %,"22,186.00","13,327,799.30"
MFIL,2025-05-11,644.8,644.8,602,608.29,-3.78 %,"26,811.00","16,538,155.00"
MFIL,2025-05-08,600,640,586,632.2,6.79 %,"70,912.00","44,262,828.40"
MFIL,2025-05-07,576,619,560,591.98,2.93 %,"45,682.00","26,361,999.10"
MFIL,2025-05-06,580,585,574.9,575.13,-0.97 %,"12,567.00","7,256,855.60"
MFIL,2025-05-05,582,585,580,580.75,0.24 %,"12,799.00","7,437,109.80"
MFIL,2025-05-04,594.5,595,575,579.37,-0.75 %,"17,833.00","10,327,188.30"
MFIL,2025-04-30,589,593,582.3,583.73,-0.82 %,"12,974.00","7,592,723.80"
MFIL,2025-04-29,609.2,621,587.1,588.56,-1.46 %,"17,189.00","10,189,876.30"
MFIL,2025-04-28,586,622,581.3,597.28,2.10 %,"20,141.00","12,074,510.00"
MFIL,2025-04-27,597,600,583,585.02,-0.09 %,"12,142.00","7,135,293.90"
MFIL,2025-04-24,595,595,585,585.52,-0.18 %,"10,338.00","6,073,139.20"
MFIL,2025-04-23,595,597,585.1,586.55,-1.47 %,"13,948.00","8,235,572.60"
MFIL,2025-04-22,604,604,595,595.32,0.32 %,"19,691.00","11,749,539.80"
MFIL,2025-04-21,604,607.4,592.1,593.45,-1.46 %,"31,592.00","18,886,153.30"
MFIL,2025-04-20,610,610,601.1,602.24,-1.15 %,"14,390.00","8,671,560.10"
MFIL,2025-04-17,602,610,600.1,609.25,1.28 %,"24,715.00","14,974,975.60"
MFIL,2025-04-16,603,604.9,597.3,601.53,0.00 %,"10,307.00","6,193,248.00"
MFIL,2025-04-15,601,608,600,601.53,0.36 %,"8,631.00","5,199,702.00"
MFIL,2025-04-13,609,609,597,599.37,-0.32 %,"11,260.00","6,762,547.50"
MFIL,2025-04-10,605,605,597,601.31,0.33 %,"10,855.00","6,512,609.30"
MFIL,2025-04-09,587.9,608,587.9,599.31,-0.04 %,"11,669.00","7,010,459.50"
MFIL,2025-04-08,600,604,595,599.53,-0.11 %,"12,813.00","7,649,518.40"
MFIL,2025-04-07,602,610,599.9,600.17,-1.38 %,"16,395.00","9,875,563.90"
MFIL,2025-04-03,606,620,606,608.59,-0.81 %,"18,011.00","11,010,546.50"
